Date,Growth percentile
1961-01-01,6
1962-01-01,34
1963-01-01,-40
1964-01-01,48
1965-01-01,35
1966-01-01,39
1967-01-01,18
1968-01-01,44
1969-01-01,42
1970-01-01,10
1971-01-01,19
1972-01-01,37
1973-01-01,47
1974-01-01,-37
1975-01-01,45
1976-01-01,32
1977-01-01,15
1978-01-01,16
1979-01-01,-42
1980-01-01,-34
1981-01-01,-32
1982-01-01,11
1983-01-01,-24
1984-01-01,31
1985-01-01,2
1986-01-01,-3
1987-01-01,3
1988-01-01,29
1989-01-01,5
1990-01-01,-44
1991-01-01,-39
1992-01-01,-28
1993-01-01,-36
1994-01-01,-8
1995-01-01,-13
1996-01-01,0
1997-01-01,8
1998-01-01,-21
1999-01-01,-2
2000-01-01,24
2001-01-01,-31
2002-01-01,-26
2003-01-01,-11
2004-01-01,26
2005-01-01,13
2006-01-01,21
2007-01-01,23
2008-01-01,-29
2009-01-01,-47
2010-01-01,27
2011-01-01,-7
2012-01-01,-23
2013-01-01,-18
2014-01-01,-16
2015-01-01,-15
2016-01-01,-19
2017-01-01,-5
2018-01-01,-10
2019-01-01,-45
2020-01-01,-48
2021-01-01,40
